Title,Genre(s),Developer(s),Publisher(s),Release date
Counter-Strike: Global Offensive,Shooter,Valve Corporation,Valve Corporation,22-Aug-12
Country Dance All Stars,,High Voltage Software,GameMill Entertainment,27-Mar-12
Crackdown,"Third-person Shooter, Action-adventure, Open World",Real Time Worlds,Microsoft Game Studios,20-Feb-07
Crackdown 2,"Third-person Shooter, Open World",Ruffian Games,Microsoft Game Studios,6-Jul-10
Crash of the Titans,Platform,Radical Entertainment,Vivendi Games,4-Oct-07
Crash Time II: Burning Wheels,Racing Mission,Synetic,RTL Games,Unreleased
Crash Time III: Highway Nights,Racing Mission,Synetic,RTL Games,Unreleased
Crash Time IV: The Syndicate,Racing Mission,Synetic,dtp entertainment,Unreleased
Crash Time V: Undercover,Racing Mission,Synetic,dtp entertainment,Unreleased
Crash Time: Autobahn Pursuit,Racing Mission,Synetic,"Crave Entertainment, RTL GamesEU",22-Aug-08
Crash: Mind over Mutant,Platform,Radical Entertainment,Activision,7-Oct-08
Crazy Machines Elements,Puzzle & Trivia,FAKT Software,dtp entertainment,24-Aug-11
Crazy Taxi,Racing & Flying,Hitmaker,Sega,24-Nov-10
CrazyMouseCrazyMouse,Action & Adventure,Ultizen Games,Microsoft Studios,15-Oct-08
Create,Open World,EA Bright Light,Electronic Arts,16-Nov-10
Crimson Alliance,Role Playing,Certain Affinity,Microsoft Studios,7-Sep-11
Cross Edge Dash,,Compile Heart,Compile Heart,Unreleased
Crysis,First-person Shooter,Crytek,Electronic Arts,4-Oct-11
Crysis 2,First-person Shooter,Crytek,Electronic Arts,22-Mar-11
Crysis 3,First-person Shooter,Crytek,Electronic Arts,19-Feb-13
Crystal Defenders,Strategy & Simulation,Square Enix,Square Enix,11-Mar-09
Crystal Quest,Shooter,Stainless Games,Microsoft Studios,7-Feb-06
CSI: Deadly Intent,Adventure,Telltale Games,Ubisoft,27-Oct-09
CSI: Fatal Conspiracy,Adventure,Telltale Games,Ubisoft,26-Oct-10
CSI: Hard Evidence,Adventure,Telltale Games,Ubisoft,25-Sep-07
Culdcept Saga,"Board Game, Card Based","Omiya Soft, Jamsworks",Namco Bandai Games,5-Feb-08
Cyber Troopers Virtual-On Force,"Tank & Mecha Sim, Action",Hitmaker,Sega,Unreleased
Cyber Troopers Virtual-On Oratorio Tangram,Classics,Sega AM2,Sega,29-Apr-09
Cyberball 2072,Classics,Midway Games/,Midway Games,5-Sep-07
Damage Inc. Pacific Squadron WW2,Combat Flight Simulator,Trickstar Games,Mad Catz Interactive,28-Aug-12
Damnation,Third-person Shooter,Blue Omega,Codemasters,26-May-09
Dance Central,,Harmonix Music Systems,MTV Games,4-Nov-10
Dance Central 2,,Harmonix Music Systems,MTV Games,25-Oct-11
Dance Central 3,,Harmonix Music Systems,MTV Games and Microsoft Studios,16-Oct-12
Dance Dance Revolution,Music,Konami Digital Entertainment,Konami,12-Apr-11
Dance Dance Revolution Universe,Music,Konami Digital Entertainment,Konami,2-Feb-07
Dance Dance Revolution Universe 2,Music,Konami Digital Entertainment,Konami,4-Dec-07
Dance Dance Revolution Universe 3,Music,Konami Digital Entertainment,Konami,14-Oct-08
Dance Evolution,,Konami,Konami,Unreleased
Dance Paradise,,Mindscape,Universal Music,15-Feb-11
Dance! It's Your Stage,Family & Educational,Sproing,dtp entertainment,8-Sep-09
Dancing Stage Universe,Music,Konami GmbH,Konami GmbH,Unreleased
Dancing Stage Universe 2,Music,Konami GmbH,Konami GmbH,Unreleased
Dante's Inferno,"Platformer, Hack & Slash, Action-adventure, Third-person",EA Redwood Shores,Electronic Arts,9-Feb-10
Dark,"Stealth, Action RPG",Realmforge Studios,Kalypso Media,9-Jul-13
Dark Messiah of Might and Magic: Elements,"First-person Shooter, Action RPG",Ubisoft Annecy,Ubisoft,12-Feb-08
Dark Sector,"Third-person Shooter, Action",Digital Extremes,D3 Publisher,25-Mar-08
Dark Souls,Action RPG,FromSoftware,"Namco Bandai Games, From SoftwareJP",4-Oct-11
Dark Souls II,Action RPG,FromSoftware,"Namco Bandai Games, From SoftwareJP",11-Mar-14
Dark Void,"Third-person Shooter, action-adventure",Airtight Games,Capcom,19-Jan-10
Darkest of Days,First-person Shooter,8monkey Labs,Phantom EFX,8-Sep-09
