Title,Genre(s),Developer(s),Publisher(s),Release date
Infernal: Hell's Vengeance,"Third-person Shooter, Action-adventure",Metropolis Software,Playlogic,30-Jun-09
Inferno Pool,Sports & Recreation,Dark Energy Digital,Koch Media,28-Oct-09
Infinite Undiscovery,Action RPG,tri-Ace,Microsoft Game Studios,2-Sep-08
Injustice: Gods Among Us,Fighting,NetherRealm Studios,Warner Bros. Interactive Entertainment,16-Apr-13
Insanely Twisted Shadow Planet,Action & Adventure,Shadow Planet Productions (Fuelcell Games/Gagne International),Microsoft Studios,3-Aug-11
Instant Brain,Adventure,CAVE,CAVE,Unreleased
Intel Discovered,Kinect,Wahoo Studios,Microsoft Studios,15-Oct-12
Interpol: The Trail of Dr. Chaos,Puzzle & Trivia,TikGames,Microsoft Studios,7-Jan-09
Inversion,Third-person Shooter,Saber Interactive,Namco Bandai Games,5-Jun-12
Invincible Tiger: The Legend of Han Tao,Action & Adventure,Blitz Arcade,Bandai Namco Entertainment,26-Aug-09
Ion Assault,Action & Adventure,Coreplay,Black Inc.,23-Sep-09
Iron Brigade,Shooter,Double Fine Productions,Microsoft Studios,22-Jun-11
Iron Man,Action,Secret Level,Sega,2-May-08
Iron Man 2,Action-adventure,Sega Studio USA,Sega,27-Apr-10
Iron Sky: Invasion,Space simulation,Reality Pump,TopWare Interactive,Unreleased
Islands of Wakfu,Role Playing,Ankama Games,Microsoft Studios,30-Mar-11
JAM Live Music Arcade,Puzzle & Trivia,Zivix,505 Games,16-May-12
James Bond 007: Blood Stone,Third-person shooter,Bizarre Creations,Activision,2-Nov-10
James Cameron's Avatar: The Game,"Third-person Shooter, Action-adventure",Ubisoft Montreal,"Ubisoft, Lightstorm Entertainment, 20th Century Fox Games",1-Dec-09
JASF: Jane's Advanced Strike Fighters,Combat flight simulator,Trickstar Games,Maximum Family Games,18-Oct-11
Jeremy McGrath's Offroad,Racing & Flying,2XL Games,D3 Publisher,27-Jun-12
Jet Car Stunts,Racing & Flying,Grip Digital,bitComposer Interactive,1-Oct-14
Jet Set Radio,Action & Adventure,Smilebit,Sega,19-Sep-12
Jetpac Refuelled,Classics,Rare,Microsoft Studios,28-Mar-07
Jewel Quest,Puzzle & Trivia,iWin Games/CTXM,Microsoft Studios,8-Mar-06
Jillian Michaels’ Fitness Adventure,,n-Space,"Majesco Entertainment, 505 Games",8-Nov-11
Jimmie Johnson's Anything with an Engine,Racing,Isopod Labs,Autumn Games,1-Nov-11
Joe Danger 1Joe Danger: Special Edition,Racing & Flying,Hello Games,Microsoft Studios,14-Dec-11
Joe Danger 2Joe Danger 2: The Movie,Racing & Flying,Hello Games,Microsoft Studios,14-Sep-12
JoJo's Bizarre Adventure HD Ver.,Fighting,Capcom,Capcom,22-Aug-12
Jonah Lomu Rugby Challenge,Rugby,Tru Blu Games,Tru Blu Games,18-Oct-11
Joust,Classics,Midway Games/,Midway Games,22-Nov-05
Joy Ride Turbo,Racing & Flying,BigPark,Microsoft Studios,23-May-12
Juiced 2: Hot Import Nights[note 26],Racing,Juice Games,THQ,17-Sep-07
Juju,Platformer,Flying Wild Hog,THQ Nordic,10-Dec-14
Jumper: Griffin's Story,Action,Brash Entertainment,Warner Bros. Interactive Entertainment,12-Feb-08
Jurassic Park: The Game,Graphic adventure,Telltale Games,Telltale Games,15-Nov-11
Jurassic: The Hunted,First-person Shooter,Cauldron,Activision,3-Nov-09
Just Cause,"Third-person Shooter, Action-adventure, Open World",Avalanche Studios,Eidos Interactive,27-Sep-06
Just Cause 2,"Third-person Shooter, Action-adventure, Open World",Avalanche Studios,Eidos Interactive,23-Mar-10
Just Dance 2014,,Ubisoft Paris,Ubisoft,8-Oct-13
Just Dance 2015,,Ubisoft Paris,Ubisoft,25-Oct-14
Just Dance 2016,,Ubisoft Paris,Ubisoft,25-Oct-15
Just Dance 2017,,Ubisoft Paris,Ubisoft,25-Oct-16
Just Dance 2018,,Ubisoft Paris,Ubisoft,24-Oct-17
Just Dance 2019,,Ubisoft Paris,Ubisoft,23-Oct-18
Just Dance 3,,Ubisoft Paris,Ubisoft,7-Oct-11
Just Dance 4,,Ubisoft Paris,Ubisoft,9-Oct-12
Just Dance Kids,,AiLive,Ubisoft,9-Nov-10
Just Dance Kids 2,,AiLive,Ubisoft,25-Oct-11
Just Dance Kids 2014,,AiLive,Ubisoft,22-Oct-13
Just Dance: Disney Party,,Ubisoft Paris,Ubisoft,23-Oct-12
Just Dance: Disney Party 2,,Ubisoft Paris,Ubisoft,20-Oct-15
Just Dance: Greatest Hits,,Ubisoft Paris,Ubisoft,26-Jun-12
Kameo: Elements of Power,Action-adventure,Rare,Microsoft Game Studios,"November 22, 2005[1]"
Kane & Lynch 2: Dog Days,Third-person Shooter,IO Interactive,Eidos Interactive,17-Aug-10
Kane & Lynch: Dead Men,Third-person Shooter,IO Interactive,Eidos Interactive,14-Nov-07
Karaoke Revolution,Music,Blitz Games,Konami,24-Nov-09
Karaoke Revolution Glee: Volume 3,Music,Blitz Games,Konami,22-Nov-11
Karaoke Revolution Presents: American Idol Encore,Music,Blitz Games,Konami,5-Feb-08
Karaoke Revolution Presents: American Idol Encore 2,Music,Blitz Games,Konami,18-Nov-08
Karateka,Fighting,Liquid Entertainment,D3 Publisher,7-Nov-12
Kengo: Legend of the 9,Fighting,Genki,Majesco Entertainment,11-Sep-07
Ketsui: Kizuna Jigoku Tachi EXTRA,Bullet Hell,Cave,5pb.,Unreleased
Kick-Ass 2,"Action, Beat 'em up",Freedom Factory,UIG Entertainment,Unreleased
Killer is Dead,"Action, Hack & slash",Grasshopper Manufacture,"Xseed GamesNA, Deep SilverPAL EU, Kadokawa GamesJP",27-Aug-13
Kinect Adventures,,Good Science Studio,Microsoft Studios,4-Nov-10
Kinect Bundle,Kinect,Misc,Microsoft Studios,17-Jul-13
Kinect Disneyland Adventures,,Frontier Developments,Microsoft Studios,15-Nov-11
Kinect Joy Ride,,BigPark,Microsoft Studios,4-Nov-10
Kinect Nat Geo TV,,Relentless Software,Microsoft,18-Sep-12
Kinect Party,Kinect,Double Fine Productions,Microsoft Studios,17-Dec-12
Kinect Rush: A Disney-Pixar Adventure,,Asobo Studios,"Microsoft Studios, Disney Interactive Studios",20-Mar-12
Kinect Sesame Street TV,,Microsoft Studios - Soho Productions,Microsoft Studios,18-Sep-12
Kinect Sports,,Rare,Microsoft Studios,4-Nov-10
Kinect Sports Gems: 10 Frame Bowling,Kinect,Rare,Microsoft Studios,12-Mar-13
Kinect Sports Gems: 3 Point Contest,Kinect,Rare,Microsoft Studios,20-Nov-12
Kinect Sports Gems: Boxing Fight,Kinect,Rare,Microsoft Studios,25-Jun-13
Kinect Sports Gems: Darts vs. Zombies,Kinect,Rare,Microsoft Studios,20-Nov-12
Kinect Sports Gems: Field Goal Contest,Kinect,Rare,Microsoft Studios,25-Dec-12
Kinect Sports Gems: Penalty Saver,Kinect,Rare,Microsoft Studios,12-Mar-13
Kinect Sports Gems: Ping Pong,Kinect,Rare,Microsoft Studios,12-Mar-13
Kinect Sports Gems: Prize Driver,Kinect,Rare,Microsoft Studios,25-Dec-12
Kinect Sports Gems: Reaction Rally,Kinect,Rare,Microsoft Studios,25-Dec-12
Kinect Sports Gems: Ski Race,Kinect,Rare,Microsoft Studios,20-Nov-12
Kinect Sports: Season Two,,Rare,Microsoft Studios,25-Oct-11
Kinect Star Wars,,Terminal Reality,Microsoft Studios,3-Apr-12
Kinectimals,,Frontier Developments,Microsoft Studios,4-Nov-10
Kinectimals: Now with Bears!,,Frontier Developments,Microsoft Studios,11-Oct-11
"King of Fighters 2002, TheThe King of Fighters 2002: Unlimited Match",Classics,SNK,SNK,3-Nov-10
"King of Fighters 98, TheThe King of Fighters '98 Ultimate Match",Classics,SNK,SNK,1-Jul-09
Kingdom Under Fire: Circle of Doom,Action RPG,Blueside,Microsoft Game Studios,8-Jan-08
Kingdoms of Amalur: Reckoning,"Action RPG, Open World","38 Studios, Big Huge Games",Electronic Arts,7-Feb-12
King's Quest -,Action & Adventure,The Odd Gentlemen,Sierra Entertainment,29-Jul-15
King's Quest: The Complete Collection,Point and Click,Sierra,Sierra Studios,18-Oct-16
Knights Contract,Action-adventure,Game Republic,Namco Bandai Games,22-Feb-11
KOF Sky Stage,Shooter,Moss Ltd.,SNK,15-Sep-10
Konami Classics Vol. 1,Compilation,Konami,Konami,15-Dec-09
Konami Classics Vol. 2,Compilation,Konami,Konami,15-Dec-09
KrissX,Puzzle & Trivia,Regolith Games Ltd.,Konami,27-Jan-10
Kung Fu High Impact,,Virtual Air Guitar,"Ignition Entertainment, Black Bean Games",15-Nov-11
Kung Fu Panda,"Action-adventure, Platformer",Luxoflux,Activision,3-Jun-08
Kung Fu Panda 2,,Griptonite Games,THQ,24-May-11
Kung Fu Strike: The Warrior's Rise,Fighting,QOOCsoft,7sixty,5-Sep-12
L.A. Noire,"Third-person Shooter, Action-adventure, Open World",Team Bondi,Rockstar Games,17-May-11
Lara Croft and the Guardian of Light,Action & Adventure,Crystal Dynamics,Square Enix Europe,18-Aug-10
Lazy Raiders,Action & Adventure,Sarbakan,Microsoft Studios,24-Feb-10
"Lazy Raiders, The Splatters)",,,,
Leedmees,Kinect,Konami,Konami,7-Sep-11
Leela,,Curious Pictures,THQ,8-Nov-11
Left 4 Dead,"First-person Shooter, Survival Horror",Valve Corporation,Electronic Arts,17-Nov-08
Left 4 Dead 2,"First-person Shooter, Survival Horror",Valve Corporation,Electronic Arts,17-Nov-09
Legend of Kay Anniversary,,Neon Studios,Nordic Games,28-Jun-15
"Legend of Korra, TheThe Legend of Korra",Action & Adventure,PlatinumGames,Activision,22-Oct-14
"Legend of Spyro: Dawn of the Dragon, TheThe Legend of Spyro: Dawn of the Dragon",,Étranges Libellules,Activision,21-Oct-08
Legend of the Guardians: The Owls of Ga'Hoole,Combat Flight Simulator,Krome Studios,Warner Bros. Interactive,14-Sep-10
Legendary,First-person Shooter,Spark Unlimited,Gamecock Media Group,21-Oct-08
Legends of War,First-person Shooter,"Enigma Software Productions, Slitherine",Maximum Games,20-Nov-12
LEGO Batman 2: DC Super Heroes,"Action-adventure, Platformer",Traveller's Tales,Warner Bros. Interactive Entertainment,19-Jun-12
LEGO Batman 3: Beyond Gotham,"Action-adventure, Platformer",Traveller's Tales,Warner Bros. Interactive Entertainment,11-Nov-14
LEGO Batman: The Videogame,Action-adventure,Traveller's Tales,Warner Bros. Interactive Entertainment,23-Sep-08
Lego Dimensions,"Action-adventure, Platformer",Traveller's Tales,Warner Bros. Interactive Entertainment,27-Sep-15
LEGO Harry Potter: Years 1–4,"Action-adventure, Platformer",Traveller's Tales,Warner Bros. Interactive Entertainment,29-Jun-10
LEGO Harry Potter: Years 5–7,"Action-adventure, Platformer",Traveller's Tales,Warner Bros. Interactive Entertainment,11-Nov-11
LEGO Indiana Jones 2: The Adventure Continues,"Action-adventure, Platformer",Traveller's Tales,LucasArts,17-Nov-09
LEGO Indiana Jones: The Original Adventures,"Action-adventure, Platformer",Traveller's Tales,LucasArts,3-Jun-08
LEGO Jurassic World,"Action-adventure, Platformer",Traveller's Tales,Warner Bros. Interactive Entertainment,25-Jun-15
LEGO Marvel Super Heroes,"Action-adventure, Platformer",TT Games,Warner Bros. Interactive Entertainment,22-Oct-13
LEGO Pirates of the Caribbean: The Video Game,"Action-adventure, Platformer",Traveller's Tales,Disney Interactive Studios,10-May-11
LEGO Rock Band,Music,"Harmonix Music Systems, Traveller's Tales","Warner Bros. Interactive Entertainment, MTV Games",3-Nov-09
LEGO Star Wars II: The Original Trilogy,"Action-adventure, Platform",Traveller's Tales,LucasArts,12-Sep-06
LEGO Star Wars III: The Clone Wars,"Action-adventure, Platform",Traveller's Tales,LucasArts,15-Feb-11
LEGO Star Wars: The Complete Saga,"Action-adventure, Platform",Traveller's Tales,LucasArts,6-Nov-07
Lego Star Wars: The Force Awakens,"Action-adventure, Platform",Traveller's Tales,Warner Bros. Interactive Entertainment,28-Jun-16
LEGO The Hobbit,"Action-adventure, Action role-playing, Platform",Traveller's Tales,"Warner Bros. Interactive Entertainment, MGM Interactive",8-Apr-14
LEGO The Lord of the Rings,"Action-adventure, Action role-playing, Platform",Traveller's Tales,Warner Bros. Interactive Entertainment,30-Oct-12
Leisure Suit Larry: Box Office Bust,Adventure,Team17,Sierra Entertainment,31-Mar-09
Let's Cheer,,Cat Daddy Games,2K Play,7-Nov-11
Let's Dance with Mel B,,Lightning Fish,Black Bean Games,24-Apr-12
Let's Sing and Dance,Music,Voxler Games,Deep Silver,9-Oct-13
Life Is Strange -,Action & Adventure,Dontnod Entertainment,Square Enix,30-Jan-15
Lightning Returns: Final Fantasy XIII,RPG,tri-Ace,Square Enix,11-Feb-14
Limbo,Puzzle & Trivia,Playdead,Microsoft Studios,21-Jul-10
Lips,Music,iNiS,Microsoft Game Studios,11-Nov-08
Lips: Canta en Español,Music,iNiS,Microsoft Game Studios,Unreleased
Lips: I Love the 80's,Music,iNiS,Microsoft Game Studios,Unreleased
Lips: Number One Hits,Music,iNiS,Microsoft Game Studios,20-Oct-09
Lips: Party Classics,Music,iNiS,Microsoft Game Studios,4-Mar-10
Little League World Series Baseball 2010,Sports,NOW Production,Activision,13-Jul-10
Live Draft Tracker,,,,
Live Score Tracker,,,,
LMA Manager 2007,Sports Management,Codemasters,Codemasters,Unreleased
LocoCycle,Racing & Flying,Twisted Pixel Games,Microsoft Studios,14-Feb-14
Lode Runner,Classics,Southend Interactive/,Microsoft Studios,22-Apr-09
Lollipop Chainsaw,Hack and slash,Grasshopper Manufacture,Warner Bros. Interactive Entertainment,12-Jun-12
London 2012: The Official Video Game,"Sports, (Olympic)",Sega Studios Australia,Sega,26-Jun-12
Looney Tunes: Acme Arsenal,Action-adventure,Redtribe,Warner Bros. Interactive Entertainment,9-Oct-07
Lords of Shadow – Mirror of Fate HD,,,,
Lost Cities,Card & Board,Sierra Entertainment,Sierra Entertainment,23-Apr-08
Lost Odyssey,RPG,Mistwalker,Microsoft Game Studios,12-Feb-08
Lost Planet 2,Third-person Shooter,Capcom,Capcom,18-May-10
Lost Planet 3,Third-person Shooter,Spark Unlimited,Capcom,27-Aug-13
Lost Planet: Extreme Condition,Third-person Shooter,Capcom,Capcom,12-Jan-07
Lost: Via Domus,Action-adventure,Ubisoft Montreal,Ubisoft,26-Feb-08
Love Football,Sports,Namco Bandai Games,Namco Bandai Games,Unreleased
Love Tore: Bitter Version,,Bishoujo,Bishoujo,Unreleased
Love Tore: Mint Version,,Bishoujo,Bishoujo,Unreleased
Love Tore: Sweet Version,,Bishoujo,Bishoujo,Unreleased
Lucha Fury,Fighting,Punchers Impact,Coktel,22-Jun-11
Lucha Libre AAA 2010: Héroes del Ring,Sports,Immersion Software,Sabarasa Studios,12-Oct-10
Lucidity,Action & Adventure,LucasArts,Disney Interactive Studios,7-Oct-09
Lumines Live!,Puzzle & Trivia,Q Entertainment,Microsoft Studios,18-Oct-06
Luxor 2,Puzzle & Trivia,MumboJumbo,Microsoft Studios,4-Apr-07
Luxor 3: Jerome made this up its not a game,Puzzle & Trivia,MumboJumbo,Microsoft Studios,4-Apr-07
Luxor 4: Jerome made this up its not a game,Puzzle & Trivia,MumboJumbo,Microsoft Studios,4-Apr-07
Luxor 5: Jerome made this up its not a game,Puzzle & Trivia,MumboJumbo,Microsoft Studios,4-Apr-07
Make the Grade,,,,
Super Turbo Championship Edition,,,,
The Adventures of Captain Smiley,,,,
The History Channel: Great Battles Medieval,First-person Shooter,Slitherine,Slitherine,6-May-11
The Jackbox Party Pack,Party,Jackbox Games,Jackbox Games,19-Nov-14
